id,name,title,category,story,audiourl,thumbnail
11,Rani Padmini,The Tale of Jauhar,Legends,"Rani Padmini of Chittorgarh is remembered for her beauty and bravery. When Alauddin Khilji attacked Chittor to capture her, the Rajput warriors fought valiantly. To protect their honor, Padmini and the women performed Jauhar (self-immolation). Her legend symbolizes honor, sacrifice, and resistance against tyranny.", ,
12,Raja Harishchandra,The King of Truth,Legends,"Raja Harishchandra was known for his unwavering commitment to truth and dharma. Even when tested by sage Vishwamitra, he gave up his kingdom, sold himself, and endured hardships. Ultimately, the gods restored his glory. His story is a timeless example of integrity and sacrifice.", ,
13,Emperor Ashoka,Transformation after Kalinga War,Legends,"Ashoka, the Mauryan emperor, waged a brutal war against Kalinga. Seeing the massive bloodshed, he felt deep remorse and embraced Buddhism. He spread the message of peace, dharma, and non-violence across India and beyond. His story marks one of history’s greatest transformations.", ,
14,Shivaji Maharaj,The Escape from Agra,Legends,"Shivaji was imprisoned by Aurangzeb in Agra. Using clever tactics, he feigned illness and escaped hidden in fruit baskets with his son. This daring escape showcased his strategic brilliance and determination to protect his people and kingdom.", ,
15,Raja Vikramaditya,The Vetal Stories,Legends,"Raja Vikramaditya is famous for his wisdom and courage. The ‘Vikram and Vetal’ tales describe his encounters with the ghostly Vetal, who told him riddling stories. Each tale had a moral dilemma, testing the king’s wisdom, fairness, and justice.", ,
16,Panchatantra,The Monkey and the Crocodile,Folk Tale,"A crocodile befriended a monkey living on a tree by the river. His wife wanted the monkey’s heart, so the crocodile plotted to betray him. The monkey cleverly outsmarted the crocodile by saying he left his heart on the tree. The story teaches wit and survival.", ,
17,Jataka Tales,The Bodhisattva and the Hungry Tiger,Folk Tale,"A Bodhisattva saw a starving tigress and her cubs. Out of compassion, he offered his own body as food to save them. This selfless sacrifice symbolizes ultimate compassion and is a key teaching in Buddhist values.", ,
18,Akbar-Birbal,The Crows in the Kingdom,Folk Tale,"Emperor Akbar once asked Birbal how many crows were in the kingdom. Birbal replied that there were exactly as many as needed. If more came, they were relatives visiting; if fewer, they had gone visiting elsewhere. Akbar was impressed by Birbal’s wit.", ,
19,Tenali Raman,The Greedy Brahmin,Folk Tale,"A greedy Brahmin invited Tenali Raman to a feast but served him poorly. Tenali arrived dressed in rich clothes the next time. When food was served, he put it on his clothes, saying they were being honored, not him. The story highlights humility and respect.", ,
20,Birbal,The Justice of Birbal,Folk Tale,"Two women claimed to be the mother of a child. Akbar asked Birbal to solve the case. Birbal suggested cutting the child in two, giving half to each. The real mother begged to spare the child and give it to the other woman. Thus, Birbal identified the true mother. This tale shows wisdom and justice.", ,
