festivalId,name,type,religion,region,month,specialFoods,mythologicalSignificance,image
77,Eid Milad-un-Nabi,Religious,Islam,Pan-India,Varies (Lunar),Sweets,Birth of Prophet Muhammad,
78,Pariyattom Festival,Cultural,Hindu,Kerala,January,Payasam,Temple festival processions,
79,Chithirai Festival,Religious,Hindu,Tamil Nadu,April,Payasam and Fruits,Celebrates Meenakshi’s marriage,
80,Meghalaya Shad Suk Mynsiem,Cultural,Tribal,Meghalaya,April,Rice Beer and Snacks,Thanksgiving festival of Khasi tribe,
81,Tripuri Kharchi Puja,Religious,Hindu,Tripura,July,Meat and Rice Beer,Festival of 14 deities,
82,Madai Festival,Cultural,Tribal,Chhattisgarh,December,Local delicacies,Tribal worship and fairs,
83,Karaga Festival,Religious,Hindu,Karnataka,April,Payasam and Sweets,Worship of Draupadi,
84,Sankranti Mela,Cultural,Hindu,Rajasthan,January,Tilgul & Ghevar,Fair marking harvest,
85,Pushkar Camel Fair,Cultural,Secular,Rajasthan,November,Dal Baati Churma,Livestock and cultural festival,
86,Rann Utsav,Cultural,Secular,Gujarat,December-February,Kutch delicacies,Showcasing Rann of Kutch,
87,Gangaur,Religious,Hindu,Rajasthan,March-April,Ghevar,Married women pray for husband’s prosperity,
88,Mewar Festival,Cultural,Hindu,Rajasthan,April,Sweets,Spring and cultural festival,
89,Mahashivratri Mela,Religious,Hindu,Himachal Pradesh,February-March,Fruits and Milk,Devotion to Lord Shiva,
90,Banaras Ganga Mahotsav,Cultural,Hindu,Varanasi (UP),November,Sweets & Snacks,Celebration of Ganga’s cultural heritage,
91,International Yoga Day,Secular,Modern,Pan-India,June,Healthy Foods,Promotion of yoga & wellness,
92,Vasant Panchami,Religious,Hindu,Pan-India,January-February,Yellow Sweets,Worship of Goddess Saraswati,
93,Kite Festival (Uttarayan),Cultural,Hindu,Gujarat,January,Undhiyu and Jalebi,Welcoming harvest season,
94,Khajuraho Dance Festival,Cultural,Secular,Madhya Pradesh,February,Snacks & Local food,Classical dance celebrations,
95,Ellora Ajanta Festival,Cultural,Secular,Maharashtra,February,Snacks & Local dishes,Cultural art festival,
96,Hampi Festival,Cultural,Secular,Karnataka,November,Sweets & Savories,Showcasing Vijayanagar heritage,
97,Goa Carnival,Cultural,Christian,Goa,February,Seafood & Feni,Portuguese-style carnival before Lent,
98,Mizoram Pawl Kut,Harvest,Tribal,Mizoram,December,Rice Beer & Meat,Harvest festival,
99,Aranmula Boat Race,Cultural,Hindu,Kerala,September,Kerala feast,Traditional boat race for Lord Krishna,
100,Sabarimala Pilgrimage,Religious,Hindu,Kerala,November-January,Simple Vegetarian Meals,Pilgrimage to Lord Ayyappa temple,
101,Dev Deepawali,Religious,Hindu,Varanasi (UP),November,Sweets & Diyas,Lamps offered to Ganga on Kartik Purnima,
102,Kartik Purnima,Religious,Hindu,Pan-India,November,Sweets and Prasad,Marks Lord Shiva’s victory,
103,Ammathiruvadi Temple Festival,Religious,Hindu,Kerala,December,Payasam,Local temple rituals,
104,Thrissur Pooram,Religious,Hindu,Kerala,April,Sweets & Payasam,Famous temple elephant festival,
105,Alwar Festival,Cultural,Secular,Rajasthan,February,Local Sweets,Showcases Rajasthan’s folk art,
106,Kumbhalgarh Festival,Cultural,Secular,Rajasthan,December,Local Food,Honoring Kumbhalgarh fort heritage,
107,Bastar Dussehra,Cultural,Tribal,Chhattisgarh,September-October,Local Food & Mahua,Longest Dussehra celebration in India,
