id,name,type,region,origin,main ingredients,description,imageurl
33,"Avial","Veg","South","Kerala","Mixed Vegetables, Coconut, Curd","Mixed vegetable curry with coconut and yogurt.",""
34,"Erissery","Veg","South","Kerala","Pumpkin, Coconut, Spices","Pumpkin and lentil curry with coconut.",""
35,"Fish Molee","Non-Veg","South","Kerala","Fish, Coconut Milk, Spices","Mild Kerala fish curry with coconut milk.",""
36,"Malabar Parotta","Veg","South","Kerala","Flour, Ghee, Oil","Flaky layered parotta from Malabar.",""
37,"Beef Ularthiyathu","Non-Veg","South","Kerala","Beef, Coconut Slices, Spices","Spicy stir-fried beef with coconut.",""
38,"Banana Chips","Snack","South","Kerala","Raw Banana, Coconut Oil, Salt","Thin fried slices of banana.",""
39,"Sadya","Veg","South","Kerala","Rice, Sambar, Avial, Pachadi","Traditional Kerala festive meal served on banana leaf.",""
40,"Rasam","Veg","South","Tamil Nadu","Tamarind, Tomato, Pepper","Spicy tamarind-based soup.",""
41,"Sambar","Veg","South","Tamil Nadu","Toor Dal, Tamarind, Vegetables","Lentil-based stew with tamarind and spices.",""
42,"Chettinad Chicken","Non-Veg","South","Tamil Nadu","Chicken, Spices, Coconut","Spicy chicken curry from Chettinad.",""
43,"Kothu Parotta","Non-Veg","South","Tamil Nadu","Parotta, Egg, Meat, Spices","Shredded parotta stir-fried with meat and egg.",""
44,"Idiyappam","Veg","South","Tamil Nadu","Rice Flour, Coconut","String hoppers made from rice flour.",""
45,"Pongal","Veg","South","Tamil Nadu","Rice, Moong Dal, Ghee","Comfort dish of rice and lentils cooked with ghee.",""
46,"Puliyodarai","Veg","South","Tamil Nadu","Rice, Tamarind, Curry Leaves","Tamarind flavored rice.",""
47,"Upma","Veg","South","Tamil Nadu","Rava, Vegetables, Spices","Semolina porridge cooked with spices.",""
48,"Mysore Pak","Dessert","South","Karnataka","Gram Flour, Ghee, Sugar","Famous ghee-rich sweet from Mysore.",""
49,"Rava Kesari","Dessert","South","Karnataka","Rava, Ghee, Sugar, Saffron","Semolina sweet dish flavored with saffron.",""
50,"Neer Dosa","Veg","South","Karnataka","Rice, Water, Salt","Thin soft dosa from coastal Karnataka.",""
